model,utt_id,word_id,phone_id,phone,human_score,n_frames_c8,competitor_wins,speaker,any_accent,any_incorrect,any_insertion,extreme_speaker,pred,residual,abs_err,T1_alignment,T2_confusion,T3_accent,T4_context,T5_speaker,primary_type
C8,096400024,2,3,T,0.0,194,False,9640,False,True,False,True,2.0,2.0,2.0,True,True,False,False,True,T2_confusion
C8,096400024,4,6,N,0.0,194,False,9640,False,True,False,True,2.0,2.0,2.0,True,True,False,False,True,T2_confusion
C8,096470015,5,6,N,0.0,197,False,9647,False,True,False,True,2.0,2.0,2.0,True,True,False,False,True,T2_confusion
C8,096080006,2,4,D,0.0,418,False,9608,False,True,False,True,1.9924172449543884,1.9924172449543884,1.9924172449543884,True,True,False,False,True,T2_confusion
C8,096470014,0,6,M,0.0,197,False,9647,False,True,False,True,1.99171845420003,1.99171845420003,1.99171845420003,True,True,False,False,True,T2_confusion
C8,014220140,5,3,D,0.0,238,False,1422,False,True,False,True,1.990981541994009,1.990981541994009,1.990981541994009,True,True,False,False,True,T2_confusion
C8,014220142,4,3,L,0.0,214,True,1422,False,True,False,True,1.989022476994269,1.989022476994269,1.989022476994269,True,True,False,False,True,T2_confusion
C8,096220001,6,2,W,0.0,406,True,9622,False,True,False,True,1.988711544634373,1.988711544634373,1.988711544634373,True,True,False,False,True,T2_confusion
C8,096400008,8,1,T,0.0,460,False,9640,False,True,False,True,1.9880016423022062,1.9880016423022062,1.9880016423022062,True,True,False,False,True,T2_confusion
C8,096010013,6,2,D,0.0,410,False,9601,False,True,False,True,1.9843503695187883,1.9843503695187883,1.9843503695187883,True,True,False,False,True,T2_confusion
C8,069020065,2,3,T,0.0,265,True,6902,False,True,False,True,1.9761826740514623,1.9761826740514623,1.9761826740514623,True,True,False,False,True,T2_confusion
C8,020300073,3,2,T,0.0,171,False,2030,False,True,False,False,1.9691209436908597,1.9691209436908597,1.9691209436908597,True,True,False,False,False,T2_confusion
C8,096470004,3,6,NG,0.0,277,True,9647,False,True,False,True,1.9601341136171506,1.9601341136171506,1.9601341136171506,True,True,False,False,True,T2_confusion
C8,096080006,2,1,L,0.0,418,True,9608,False,True,False,True,1.9587125447216602,1.9587125447216602,1.9587125447216602,True,True,False,False,True,T2_confusion
C8,096220003,4,4,N,0.0,216,True,9622,False,True,False,True,1.9578330566159936,1.9578330566159936,1.9578330566159936,True,True,False,False,True,T2_confusion
C8,069020155,1,1,N,0.0,313,True,6902,False,True,False,True,1.951983320152656,1.951983320152656,1.951983320152656,True,True,False,False,True,T2_confusion
C8,096120012,1,3,D,0.0,298,True,9612,False,True,False,True,1.9473716712267684,1.9473716712267684,1.9473716712267684,True,True,False,False,True,T2_confusion
C8,096470022,1,3,D,0.0,216,True,9647,False,True,False,True,1.9450796026239852,1.9450796026239852,1.9450796026239852,True,True,False,True,True,T2_confusion
C8,069020168,1,5,AH,0.0,277,False,6902,False,True,False,True,1.9443050789951588,1.9443050789951588,1.9443050789951588,True,True,False,False,True,T2_confusion
C8,096080012,5,1,N,0.0,295,True,9608,False,True,False,True,1.939166748198077,1.939166748198077,1.939166748198077,True,True,False,False,True,T2_confusion
C8,014040111,2,4,NG,0.0,277,True,1404,False,True,False,True,1.9336029186112844,1.9336029186112844,1.9336029186112844,True,True,False,False,True,T2_confusion
C8,096470014,0,4,R,0.0,197,True,9647,False,True,False,True,1.9333686350496302,1.9333686350496302,1.9333686350496302,True,True,False,False,True,T2_confusion
C8,096400026,4,5,NG,0.0,184,True,9640,False,True,False,True,1.926885798112008,1.926885798112008,1.926885798112008,True,True,False,False,True,T2_confusion
C8,069020168,1,3,D,0.0,277,False,6902,False,True,False,True,1.9224419619781477,1.9224419619781477,1.9224419619781477,True,True,False,False,True,T2_confusion
C8,054320041,0,2,T,0.0,149,True,5432,False,True,False,False,1.9139361650855693,1.9139361650855693,1.9139361650855693,True,True,False,False,False,T2_confusion
C8,096080003,1,3,T,0.0,360,True,9608,False,True,False,True,1.9134345948492488,1.9134345948492488,1.9134345948492488,True,True,False,False,True,T2_confusion
C8,014040111,2,3,IH,0.0,277,True,1404,False,True,False,True,1.9003451987097455,1.9003451987097455,1.9003451987097455,True,True,False,False,True,T2_confusion
C8,014220102,0,2,N,0.0,235,False,1422,False,True,False,True,1.8916736600241157,1.8916736600241157,1.8916736600241157,True,True,False,True,True,T2_confusion
C8,034120161,3,1,AW,0.0,147,True,3412,False,True,False,False,1.8855739419549506,1.8855739419549506,1.8855739419549506,True,True,False,False,False,T2_confusion
C8,096470004,3,5,IH,0.0,277,False,9647,False,True,False,True,1.8739820653020387,1.8739820653020387,1.8739820653020387,True,True,False,False,True,T2_confusion
C8,014220070,1,4,Z,0.0,251,True,1422,False,True,False,True,1.867924122052418,1.867924122052418,1.867924122052418,True,True,False,False,True,T2_confusion
C8,096470008,3,4,T,0.0,198,True,9647,False,True,False,True,1.8659251335370073,1.8659251335370073,1.8659251335370073,True,True,False,False,True,T2_confusion
C8,014040097,4,3,AH,0.0,249,False,1404,False,True,False,True,1.8629731971842687,1.8629731971842687,1.8629731971842687,True,True,False,True,True,T2_confusion
C8,014040081,1,4,S,0.0,305,False,1404,False,True,False,True,1.8580710640072222,1.8580710640072222,1.8580710640072222,True,True,False,False,True,T2_confusion
C8,096230006,1,2,Z,0.0,306,True,9623,False,True,False,True,1.8535287657650499,1.8535287657650499,1.8535287657650499,True,True,False,False,True,T2_confusion
C8,096400018,1,1,AH,0.0,195,False,9640,False,True,False,True,1.8526271068887463,1.8526271068887463,1.8526271068887463,True,True,False,False,True,T2_confusion
C8,096080018,4,3,N,0.0,308,True,9608,False,True,False,True,1.849386685830048,1.849386685830048,1.849386685830048,True,True,False,False,True,T2_confusion
C8,096010012,3,1,N,0.0,369,True,9601,False,True,False,True,1.8486510288655373,1.8486510288655373,1.8486510288655373,True,True,False,False,True,T2_confusion
C8,096470021,1,2,N,0.0,246,False,9647,False,True,False,True,1.8451158994349557,1.8451158994349557,1.8451158994349557,True,True,False,True,True,T2_confusion
C8,096310019,7,1,AH,0.0,222,False,9631,False,True,False,True,1.8429790128396726,1.8429790128396726,1.8429790128396726,True,True,False,False,True,T2_confusion
C8,096120006,2,0,T,0.0,270,False,9612,False,True,False,True,1.834642436580778,1.834642436580778,1.834642436580778,True,True,False,False,True,T2_confusion
C8,096220003,4,2,M,0.0,216,True,9622,False,True,False,True,1.8262174008815266,1.8262174008815266,1.8262174008815266,True,True,False,False,True,T2_confusion
C8,096010012,3,0,IH,0.0,369,True,9601,False,True,False,True,1.82621546734596,1.82621546734596,1.82621546734596,True,True,False,False,True,T2_confusion
C8,014040052,2,3,T,0.0,209,False,1404,False,True,False,True,1.8256607284657969,1.8256607284657969,1.8256607284657969,True,True,False,False,True,T2_confusion
C8,096470015,5,7,D,0.0,197,True,9647,False,True,False,True,1.824317502021121,1.824317502021121,1.824317502021121,True,True,False,False,True,T2_confusion
C8,096180013,1,5,D,0.0,271,True,9618,False,True,False,False,1.8236323017442968,1.8236323017442968,1.8236323017442968,True,True,False,False,False,T2_confusion
C8,014040088,2,2,T,0.0,213,False,1404,False,True,False,True,1.8221546196214167,1.8221546196214167,1.8221546196214167,True,True,False,True,True,T2_confusion
C8,096470002,7,2,T,0.0,465,False,9647,False,True,False,True,1.8214970567934374,1.8214970567934374,1.8214970567934374,True,True,False,False,True,T2_confusion
C8,014220115,4,2,R,0.0,244,True,1422,False,True,False,True,1.8209985703673675,1.8209985703673675,1.8209985703673675,True,True,False,False,True,T2_confusion
C8,096470002,7,3,IH,0.0,465,True,9647,False,True,False,True,1.8198296647352705,1.8198296647352705,1.8198296647352705,True,True,False,False,True,T2_confusion
C8,096470014,0,8,IY,0.0,197,False,9647,False,True,False,True,1.8186866200721616,1.8186866200721616,1.8186866200721616,True,True,False,False,True,T2_confusion
